text,label
Berantas dan usut tuntas kriminalisasi Hanfah Husein ,positif
RT Ceeek berita ini fakta kriminalisasi Hanifah Husein ,negatif
RT Tolong dong masa instansi yang melindungi rakyat bisa begini ,positif
"Miris bgt deh. Kasian bu hanifah husein, istri mantan menteri atr bpn ferry mursyidan baldan, suami baru meninggal, lahan tambang diambil org lain secara serampangan, trus jadi korban kriminalisasi
",negatif
"RT  Duh ga nyangka sih kalo ternyata Bu Hanifah Husein di Kriminalisasi semoga segera diusut tuntas ini kasusnya 
",positif
"usut tuntass 
",positif
"RT  kurang ajar masih aja suka cari kesalahan, bukti nyata kriminalisasi Hanifah Husein 

Hanifah Husein",negatif
"RT Tindak tegas siapapun itu dalam tindakan diskriminasi, sekalipun itu di institusi polri ",positif
"Kasian banget bu hanifah husein, istri mantan menteri atr bpn ferry mursyidan baldan, suami baru meninggal, lahan tambang diambil org lain secara serampangan, trus jadi korban kriminalisasi
",netral
"Trending Indonesia
",netral
"RT Sumpah sedih banget baru tau kalo hu Hanifah  Husein d Kriminalisasi
",positif
Dea widia stuti Gila sih emg,negatif
mari dicek beritanya ,negatif
mari dicek beritanya,negatif
"Deawidiastuti Kasian banget bu hanifah husein, istri mantan menteri atr bpn ferry mursyidan baldan, suami baru meninggal, lahan tambang diambil oleh org lain secara serampangan, trus jadi korban kriminalisasi
",netral
Cek berita fakta kriminalisasi Hanifah Husein,negatif
"RT Ceeek berita ini, fakta kriminalisasi Hanifah Husein kriminalisasihanifahhusein",negatif
"RT Deawidiastuti tegakkan hukum seadil-adilnya, jangan ada permainan hukum. stop kriminalisasi Hanifah Husein",positif
RT Dugaan pihak ketiga sebagai dalang kriminalisasi Hanifah Hussein,positif
"Bukan cuman oknumnya yg dihukum, tapi dalangnya juga",positif
" Kasian banget bu hanifah husein, istri mantan menteri atr bpn ferry mursyidan baldan, suami baru meninggal, lahan tambang diambil oleh org lain secara serampangan, trus jadi korban kriminalisasi
",netral
Pihak ketiga yg melanggar perjanjian eh yg dihukum Bu Hanifah Husein. Sehat Pak Oknum,positif
Parah banget,netral
"RT Ceeek berita ini, fakta kriminalisasi Hanifah Husein",negatif
"RT  Sumpah sedih banget baru tau kalo hu Hanifah  Husein d Kriminalisasi
",positif
RT Dugaan pihak ketiga sebagai dalang kriminalisasi Hanifah Hussein,positif
"RT  Sumpah sedih banget baru tau kalo hu Hanifah  Husein d Kriminalisasi
",positif
Bongkar tuntas kasus ,positif
" Coba bayangin ini ibu kalian. Lahan tambang diambil org lain secara serampangan, suami meninggal, eh malah dikriminalisasi sm oknum",positif
"Kasian banget bu hanifah husein, istri mantan menteri atr bpn ferry mursyidan baldan, suami baru meninggal, lahan tambang diambil oleh org lain secara serampangan, trus jadi korban kriminalisasi
",netral
"RT tegakkan hukum seadil-adilnya, jangan ada permainan hukum. stop kriminalisasi Hanifah Husein",positif
"Fakta yg bisa menyayat hati, wajib viral",positif
"RT Tindak tegas siapapun itu dalam tindakan diskriminasi, sekalipun itu di institusi polri ",netral
Usut tuntas dalang kriminalisasi Hanifah Husein,positif
"Kasian banget bu hanifah husein, suaminya mantan menteri atr bpn ferry mursyidan baru meninggal malah jd korban kriminalisasi mana tambangnya diambil pula
",netral
"Guis coba deh baca beritanya ini.
Semoga selalu dlm perlindungan Allah ya bu",positif
RT Dugaan pihak ketiga sebagai dalang kriminalisasi Hanifah Hussein,positif
"Siapa sih ini dalangnya, dia harus dihukum berat Karena menggunakan aparat hukum buat menyudutkkan seseorang",positif
"Bayangin klo ini ibu kalian, lahan tambang diambil serampangan suami meninggal eh malah jd korban kriminalisasi ",netral
"RT kurang ajar masih aja suka cari kesalahan, bukti nyata kriminalisasi Hanifah Husein 
Hanifah Husein",netral
RT Dugaan pihak ketiga sebagai dalang kriminalisasi Hanifah Hussein,positif
"RT  Sumpah sedih banget baru tau kalo hu Hanifah  Husein d Kriminalisasi
",positif
"RT  Sumpah sedih banget baru tau kalo hu Hanifah  Husein di Kriminalisasi
",positif
" Kasian bgt hanifah husein, istri mantan menteri atr bpn ferry mursyidan baldan, suaminya baru aja meninggal, lahan tambangnya diambil org lain secara serampangan, trus jadi korban kriminalisasi
",netral
" Kasian banget bu hanifah husein, istri mantan menteri atr bpn ferry mursyidan baldan, suami baru meninggal, lahan tambang diambil oleh org lain secara serampangan, terus jadi korban kriminalisasi
",netral
" tegakkan hukum seadil-adilnya, jangan ada permainan hukum. stop kriminalisasi Hanifah Husein
",positif
" Kasian banget bu hanifah husein suaminya baru meninggal (ferry mursyidan baldan) lahan tambang diambil org lain secara serampangan, trus jadi korban kriminalisasi
",netral
" Ceeek berita ini, fakta kriminalisasi Hanifah Husein",negatif
"Bukan karena antusias dengan kehadiran Wan Abud, licik imigran yaman satu  The 10 Sanggup Nahyan Papua Pagiii",negatif
"RT  Ceeek berita ini, fakta kriminalisasi Hanifah Husein",negatif
"Tetap waspada, Wan Abud sedang mempersiapkan strategi untuk merebut kursi presiden dengan merangkul pengasong khilaf Sanggup Nahyan Papua Pagiii",negatif
"RT Tindak tegas siapapun itu dalam tindakan diskriminasi, sekalipun itu di institusi polri",positif
"Kasian banget bu hanifah husein, istri mantan menteri atr bpn ferry mursyidan baldan, suami baru meninggal, lahan tambang diambil oleh org lain secara serampangan, trus jadi korban kriminalisasi",netral
"Hukum melindungi yg benar
Hukum melindungi yg salah",positif
"RT kurang ajar masih aja suka cari kesalahan, bukti nyata kriminalisasi Hanifah Husein",negatif
Wan Abud bangkitkan khilafah demi orgasme politiknya,negatif
Kalo kasus gak viral gak bakal diusut,positif
"Trending Indonesia
1. SafeFlightOurAstronaut
2. UntilWeMeetAgainJin
3. kriminalisasihanifahhusein
4. WeLoveYouJin
5. HUANG RENJUN THANK YOU
6. Keramas
7. Loyal
8. Independent
9. Sentimental",netral
RT Sumpah sedih banget baru tau kalo Bu Hanifah  Husein di Kriminalisasi,netral
Makin banyak bukti kalo oknum tuh buka satu dua orang aja tapi kalo dikumpulin bisa satu desa,positif
"kasian banget bu hanifah husein, istri mantan menteri atr bpn ferry mursyidan baldan, suami baru meninggal, lahan tambang diambil oleh org lain secara serampangan, trus jadi korban kriminalisasi",netral
"RT Ya Allah ini jelas-jelas ada kriminalisasi thd Hanifah Husein, tolong lah bekerja dengan seadil adilnya. Usut tuntas 
kriminalisasi hanifah husein",positif
RT astagfirullah ini kasus apaan lagi? kok kayaknya banyak banget kasus kriminalisasi orang ga bersalah kayak gini?,positif
RT Yukkk kitaa Bongkar tikus tikus jahat pelaku kriminalisasi Hanifah Husein,positif
katanya iwan bomba ya dalang dari kasus ini? usut dongg!,positif
RT Dugaan pihak ketiga sebagai dalang kriminalisasi Hanifah Hussein,positif
RT Gaskeun yukk Usut tuntas dalang kriminalisasi Hanifah Husein,positif
"RT Mengapa harus ada kriminalisasi, semoga segera bisa diselesaikan",positif
RT Musti diusut tuntas pokoknya dalang dibalik kriminalisasi Hanifah Husein ,positif
"RT Tindak tegas siapapun itu dalam tindakan diskriminasi, sekalipun itu di institusi polri ",positif
Bongkar tikus-tikus jahat di Bareskrim Polri.,positif
"RT Ceeek berita ini, fakta kriminalisasi Hanifah Husein",negatif
"Gila gak sih guys, sekuat apa coba dalang dibalik ini sampai-sampai oknum penyidik aja tunduk! Usut tuntas kasus kriminalisasi hanifah husein!",positif
RT Dugaan pihak ketiga sebagai dalang kriminalisasi Hanifah Hussein,positif
"kasian banget bu hanifah husein, istri mantan menteri atr bpn ferry mursyidan baldan, suami baru meninggal, lahan tambang diambil oleh org lain secara serampangan, trus jadi korban kriminalisasi",netral
"RT Ceeek berita ini, fakta kriminalisasi Hanifah Husein",negatif
RT Dugaan pihak ketiga sebagai dalang kriminalisasi Hanifah Hussein,positif
